						s7	s8																	1	2	3	4	5														6									
s10						s7	s8																		9	3	4	5																							
r3						r3	r3																																												
r4						r4	r4																																												
r5						r5	r5																																												
	s11																																																		
																							acc																												
	r8																																																		
	r9																																																		
r2						r2	r2																																												
																							r1																												
		s12	s13					s14																																											
r6	r6	r6		r6		r6	r6	r6			r6	r6	r6		r6	r6																																			
				s15																																															
						s7	s20																					16	17		18	19																			
					s21																																														
	s22																																																		
									s23																																										
									r11	s24																																									
									r14	r14																																									
	r9								r12																																										
		s25																																																	
			s26						r15	r15																																									
											s28																			27																					
						s7	s8																					16				29																			
r7	r7	r7		r7		r7	r7	r7			r7	r7	r7		r7	r7																																			
					s30																																														
r10						r10	r10																																												
	r19	r19		r19		r19	r19	r19			r19	r19	r19		r19	r19																	31																		
									r13	r13																																									
									r16	r16																																									
	r21	r21		r21		s7	s8	r21			r21	r21	r21		r21	r21										32		33						34																	
	r18	r18		r18		r18	r18	r18			r18	r18	r18		r18	r18																																			
	s35																																																		
	s49	s50		s51				s52			s28	s53	s54		s55	s56														36					37	38	39	40	41	42	43		44	45			46	47	48		
		s12	s13																																																
	r23	r23		r23				r23			r23	r23	r23	r23	r23	r23																																			
	r20	r20		r20				r20			r20	r20	r20		r20	r20																																			
	r22	r22		r22				r22			r22	r22	r22	r22	r22	r22																																			
	r24	r24		r24				r24			r24	r24	r24	r24	r24	r24																																			
	r25	r25		r25				r25			r25	r25	r25	r25	r25	r25																																			
	r26	r26		r26				r26			r26	r26	r26	r26	r26	r26																																			
		s57																																																	
		r48			r48				r48	r48							s58	r48	r48	r48	r48	r48																													
		r34			r34				r34	r34																																									
		r38			r38				r38	r38								s61	s62	s63	s64																								59	60					
		r42			r42				r42	r42								r42	r42	r42	r42	s65																													
		r46			r46				r46	r46								r46	r46	r46	r46	r46																													
		r49			r49				r49	r49								r49	r49	r49	r49	r49																													
		r35	s66		r35			s67	r35	r35							r35	r35	r35	r35	r35	r35																													
	r28	r28		r28				r28			r28	r28	r28	r28	r28	r28																																			
		r50			r50				r50	r50								r50	r50	r50	r50	r50																													
	s49			s51				s52																																68	43		44	45			46	47	48		
r17	r17	r17		r17		r17	r17	r17			r17	r17	r17	r17	r17	r17																																			
								s69																																											
								s70																																											
	s49	s72		s51				s52																																71	43		44	45			46	47	48		
	r27	r27		r27				r27			r27	r27	r27	r27	r27	r27																																			
	s49			s51				s52																																73	43		44	45			46	47	48		
	s49			s51				s52																																	74			75			46	47	48		
	s49			s51				s52																																	74						76	47	48		
	r39			r39				r39																																											
	r40			r40				r40																																											
	r43			r43				r43																																											
	r44			r44				r44																																											
	s49			s51				s52																																	74							77	48		
	s49			s51				s52																																78	43		44	45			46	47	48		
	s49			s51				s52	r53																															79	43		44	45			46	47	48	80	81
									s82																																										
	s49			s51				s52																																83	43		44	45			46	47	48		
	s49			s51				s52																																84	43		44	45			46	47	48		
		s85																																																	
	r31	r31		r31				r31			r31	r31	r31	r31	r31	r31																																			
		r33			r33				r33	r33																																									
		r48			r48				r48	r48								r48	r48	r48	r48	r48																													
		r37			r37				r37	r37										s63	s64																									60					
		r41			r41				r41	r41								r41	r41	r41	r41	s65																													
		r45			r45				r45	r45								r45	r45	r45	r45	r45																													
					s86																																														
									r55	r55																																									
									s87																																										
									r52	s88																																									
		r47			r47				r47	r47								r47	r47	r47	r47	r47																													
									s89																																										
									s90																																										
	r32	r32		r32				r32			r32	r32	r32	r32	r32	r32																																			
		r36			r36				r36	r36							r36	r36	r36	r36	r36	r36																													
		r51			r51				r51	r51								r51	r51	r51	r51	r51																													
	s49			s51				s52																																91	43		44	45			46	47	48		
	s49	s50		s51				s52			s28		s54		s55	s56														36					92	38	39	40	41	42	43		44	45			46	47	48		
	s49	s50		s51				s52			s28		s54		s55	s56														36					93	38	39	40	41	42	43		44	45			46	47	48		
									r54	r54																																									
														s94																																					
	r30	r30		r30				r30			r30	r30	r30	r30	r30	r30																																			
	s49	s50		s51				s52			s28		s54		s55	s56														36					95	38	39	40	41	42	43		44	45			46	47	48		
	r29	r29		r29				r29			r29	r29	r29	r29	r29	r29																																			
